accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
2022622200377,2022,622200377,1,90,electric scooter
2022622200378,2022,622200378,2,90,electric scooter
2022622200441,2022,622200441,1,90,electric scooter
2022622200468,2022,622200468,2,90,electric scooter
2022622200484,2022,622200484,1,90,electric scooter
2022622200536,2022,622200536,1,90,electric scooter
2022622200586,2022,622200586,1,90,electric scooter
2022622200624,2022,622200624,2,90,electric scooter
2022622200751,2022,622200751,1,90,electric scooter
2022622200752,2022,622200752,2,90,electric scooter
2022622200838,2022,622200838,2,90,electric scooter
2022622200855,2022,622200855,1,90,electric scooter
2022622200864,2022,622200864,2,90,electric scooter
202263A007822,2022,63A007822,1,90,electric scooter
202263A010222,2022,63A010222,2,90,electric scooter
202263C082222,2022,63C082222,1,90,electric scooter
2022991130755,2022,991130755,2,90,electric scooter
2022991184249,2022,991184249,2,90,electric scooter
2022991187423,2022,991187423,1,90,electric scooter
2022991192216,2022,991192216,1,90,electric scooter
2022991197606,2022,991197606,1,90,electric scooter
2022991208920,2022,991208920,1,90,electric scooter
2022991227887,2022,991227887,1,90,electric scooter
2022991259105,2022,991259105,2,90,electric scooter
2021010342715,2021,010342715,1,90,electric scooter
2021010342726,2021,010342726,2,90,electric scooter
2021010342802,2021,010342802,2,90,electric scooter
2021010342849,2021,010342849,2,90,electric scooter
2021010342889,2021,010342889,2,90,electric scooter
2021010343212,2021,010343212,1,90,electric scooter
2021010343234,2021,010343234,1,90,electric scooter
2021010343340,2021,010343340,2,90,electric scooter
2021010343707,2021,010343707,2,90,electric scooter
2021010344132,2021,010344132,1,90,electric scooter
2021010344173,2021,010344173,2,90,electric scooter
2021010344372,2021,010344372,2,90,electric scooter
2021010344398,2021,010344398,2,90,electric scooter
2021010344590,2021,010344590,2,90,electric scooter
2021010344591,2021,010344591,2,90,electric scooter
2021010344735,2021,010344735,1,90,electric scooter
2021010344777,2021,010344777,1,90,electric scooter
2021010344850,2021,010344850,2,90,electric scooter
